DATE,LOCAL.TIME..SENSOR.,COUNTLINENAME,DIRECTION,CAR,PEDESTRIAN,CYCLIST,MOTORBIKE,BUS,OGV1,OGV2,LGV,DAY
2021-05-19T00:00:00Z,2021-05-19T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,6,342,19,1,0,0,0,1,Wed
2021-05-19T00:00:00Z,2021-05-19T01:00:00Z,LBS15_ButterHill_Road_S53,in,2087,56,94,36,1,7,0,428,Wed
2021-05-19T00:00:00Z,2021-05-19T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,2,171,24,1,0,0,0,0,Wed
2021-05-19T00:00:00Z,2021-05-19T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,143,4,0,0,0,0,0,Wed
2021-05-19T00:00:00Z,2021-05-19T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,1,327,2,2,0,0,0,0,Wed
2021-05-19T00:00:00Z,2021-05-19T01:00:00Z,LBS15_ButterHill_Road_S53,out,1975,18,78,30,13,12,0,283,Wed
2021-05-20T00:00:00Z,2021-05-20T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,3,193,12,1,0,0,0,0,Thu
2021-05-20T00:00:00Z,2021-05-20T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,5,90,2,0,0,0,0,0,Thu
2021-05-20T00:00:00Z,2021-05-20T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,3,360,6,4,0,0,0,0,Thu
2021-05-20T00:00:00Z,2021-05-20T01:00:00Z,LBS15_ButterHill_Road_S53,in,2123,54,78,41,10,11,0,471,Thu
2021-05-20T00:00:00Z,2021-05-20T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,1,203,18,1,0,0,0,0,Thu
2021-05-20T00:00:00Z,2021-05-20T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,110,3,0,0,0,0,0,Thu
2021-05-20T00:00:00Z,2021-05-20T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,302,4,0,0,0,0,0,Thu
2021-05-20T00:00:00Z,2021-05-20T01:00:00Z,LBS15_ButterHill_Road_S53,out,1959,26,96,34,18,9,1,329,Thu
2021-05-21T00:00:00Z,2021-05-21T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,9,201,16,0,0,0,0,0,Fri
2021-05-21T00:00:00Z,2021-05-21T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,10,105,2,1,1,0,0,2,Fri
2021-05-21T00:00:00Z,2021-05-21T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,5,347,6,0,0,0,0,1,Fri
2021-05-21T00:00:00Z,2021-05-21T01:00:00Z,LBS15_ButterHill_Road_S53,in,2347,54,72,56,5,8,0,468,Fri
2021-05-21T00:00:00Z,2021-05-21T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,0,179,9,0,0,0,0,0,Fri
2021-05-21T00:00:00Z,2021-05-21T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,128,3,0,0,0,0,0,Fri
2021-05-21T00:00:00Z,2021-05-21T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,321,6,3,0,0,0,0,Fri
2021-05-21T00:00:00Z,2021-05-21T01:00:00Z,LBS15_ButterHill_Road_S53,out,2186,17,72,37,18,11,1,339,Fri
2021-05-22T00:00:00Z,2021-05-22T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,2,129,8,0,0,0,0,1,Sat
2021-05-22T00:00:00Z,2021-05-22T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,2,107,3,0,0,0,0,1,Sat
2021-05-22T00:00:00Z,2021-05-22T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,6,230,17,0,0,0,0,0,Sat
2021-05-22T00:00:00Z,2021-05-22T01:00:00Z,LBS15_ButterHill_Road_S53,in,1852,44,67,40,1,2,0,242,Sat
2021-05-22T00:00:00Z,2021-05-22T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,2,103,24,1,0,0,0,0,Sat
2021-05-22T00:00:00Z,2021-05-22T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,130,2,0,0,0,0,0,Sat
2021-05-22T00:00:00Z,2021-05-22T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,225,1,0,0,0,0,0,Sat
2021-05-22T00:00:00Z,2021-05-22T01:00:00Z,LBS15_ButterHill_Road_S53,out,1764,18,65,38,7,6,0,164,Sat
2021-05-23T00:00:00Z,2021-05-23T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,4,96,4,0,0,0,0,0,Sun
2021-05-23T00:00:00Z,2021-05-23T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,5,88,2,0,0,0,0,1,Sun
