UTC Time,Local Time (Sensor),countlineId,countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV,,cars
26/09/2021 00:00,26/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,55,19,1,4,0,0,1,8,,in
26/09/2021 00:00,26/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,19,23,2,1,0,0,0,10,,
27/09/2021 00:00,27/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,30,16,2,1,0,2,0,6,,in
27/09/2021 00:00,27/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,18,2,1,1,0,0,8,,
28/09/2021 00:00,28/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,33,19,0,0,0,1,0,4,,in
28/09/2021 00:00,28/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,24,18,0,0,0,0,0,5,,
29/09/2021 00:00,29/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,37,14,3,1,0,1,0,6,,in
29/09/2021 00:00,29/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,35,14,0,3,0,1,0,9,,
30/09/2021 00:00,30/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,34,20,0,2,0,0,0,14,,in
30/09/2021 00:00,30/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,29,22,0,0,0,1,0,18,,
01/10/2021 00:00,01/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,61,26,1,1,0,0,0,18,,in
01/10/2021 00:00,01/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,38,1,1,0,0,0,8,,
02/10/2021 00:00,02/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,52,9,1,1,3,0,0,12,,in
02/10/2021 00:00,02/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,26,17,1,1,0,0,0,5,,
03/10/2021 00:00,03/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,62,27,0,3,3,0,0,4,,in
03/10/2021 00:00,03/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,29,23,3,0,0,0,0,2,,
04/10/2021 00:00,04/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,41,20,6,1,0,1,1,8,,in
04/10/2021 00:00,04/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,27,1,5,0,1,0,8,,
05/10/2021 00:00,05/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,20,13,2,1,0,1,0,9,,out
